Type \ Live Suji,Total,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Dragon with 0 visible,3.20%,1.49%,1.77%,1.80%,1.89%,2.14%,2.37%,2.76%,3.13%,3.50%,4.05%,4.65%,5.20%,5.74%,6.66%,8.11%,9.84%,10.72%,13.80%,15.73%
Dragon with 1 visible,1.35%,0.71%,0.84%,0.61%,0.59%,0.66%,0.72%,0.83%,1.06%,1.28%,1.57%,1.88%,2.27%,2.68%,3.49%,4.16%,5.45%,7.56%,9.48%,11.45%
Dragon with 2 visible,0.14%,0.00%,0.00%,0.01%,0.02%,0.01%,0.04%,0.04%,0.07%,0.10%,0.13%,0.17%,0.23%,0.30%,0.38%,0.50%,0.83%,0.66%,0.91%,1.63%
Dragon with 3 visible,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.02%,0.00%,0.00%,0.00%
Guest Wind with 0 visible,2.58%,1.78%,1.81%,1.81%,1.67%,1.75%,1.91%,2.09%,2.36%,2.73%,3.37%,3.57%,4.25%,4.85%,5.99%,7.06%,8.92%,11.51%,12.99%,13.83%
Guest Wind with 1 visible,1.52%,0.99%,0.78%,0.73%,0.63%,0.72%,0.78%,0.98%,1.18%,1.48%,1.76%,2.17%,2.65%,3.10%,3.87%,5.16%,6.46%,7.75%,10.57%,15.92%
Guest Wind with 2 visible,0.12%,0.00%,0.04%,0.01%,0.02%,0.01%,0.03%,0.03%,0.06%,0.09%,0.13%,0.17%,0.19%,0.27%,0.34%,0.40%,0.68%,0.62%,0.61%,2.04%
Guest Wind with 3 visible,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Round Wind with 0 visible,3.01%,1.00%,1.53%,1.62%,1.63%,2.04%,2.22%,2.53%,2.77%,3.39%,3.95%,4.29%,5.17%,5.68%,6.26%,7.35%,8.00%,10.93%,14.11%,14.71%
Round Wind with 1 visible,1.20%,0.65%,0.32%,0.51%,0.57%,0.54%,0.63%,0.72%,0.95%,1.14%,1.41%,1.58%,2.09%,2.70%,3.01%,4.31%,4.81%,7.56%,8.75%,10.71%
Round Wind with 2 visible,0.14%,0.00%,0.00%,0.00%,0.01%,0.01%,0.03%,0.03%,0.06%,0.12%,0.12%,0.23%,0.27%,0.27%,0.40%,0.40%,0.68%,0.91%,1.02%,0.00%
Round Wind with 3 visible,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%
Seat Wind with 0 visible,4.01%,1.60%,2.31%,2.11%,2.42%,2.56%,2.76%,3.22%,3.83%,4.33%,4.91%,5.73%,6.83%,6.96%,9.30%,9.95%,12.55%,17.08%,16.36%,16.67%
Seat Wind with 1 visible,1.50%,0.85%,0.90%,0.67%,0.64%,0.71%,0.77%,0.94%,1.18%,1.42%,1.54%,2.14%,2.42%,3.38%,4.12%,5.33%,6.21%,7.49%,11.73%,22.45%
Seat Wind with 2 visible,0.15%,0.00%,0.00%,0.04%,0.03%,0.02%,0.02%,0.06%,0.06%,0.11%,0.14%,0.19%,0.25%,0.36%,0.40%,0.53%,0.71%,0.98%,1.49%,2.22%
Seat Wind with 3 visible,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
